# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.004064 0.001300
0.000003 0.004800
0.000072 0.008100
0.000754 0.006100
0.000229 0.006400
0.000000 0.007600
0.002439 0.005100
0.011167 0.007900
0.004068 0.004100
0.017146 0.006400
0.039738 0.006100
0.003520 0.006400
0.017360 0.005300
0.000034 0.006400
0.002769 0.005100
0.006146 0.007100
0.004110 0.006900
0.001776 0.007600
0.004576 0.007400
0.008142 0.005100
0.004213 0.006400
0.000228 0.007600
0.000000 0.004300
0.000000 0.009400
0.000498 0.008400
0.043843 0.009100
0.000534 0.006600
0.000000 0.007100
0.000174 0.008100
0.000003 0.007100
0.000000 0.008100
0.000000 0.008600
0.005585 0.007600
0.000000 0.008900
0.000734 0.009100
0.007526 0.007100
0.005377 0.005100
0.002173 0.006400
0.000642 0.008900
0.007846 0.006600
0.000260 0.003800
0.004740 0.006400
0.004016 0.003600
0.000000 0.006100
0.000000 0.007400
0.000000 0.007900
0.000000 0.007400
0.000000 0.007600
0.000084 0.009100
0.010733 0.006600
0.000044 0.006600
0.009053 0.008900
0.000491 0.004300
0.008336 0.007400
0.001092 0.007600
0.000425 0.007600
0.017014 0.008100
0.006014 0.005100
0.010701 0.004100
0.000077 0.006600
0.000905 0.006900
0.000072 0.009400
0.000000 0.008400
0.000000 0.009900
0.000028 0.009400
0.001176 0.009400
0.000603 0.008100
0.000661 0.007900
0.000736 0.005100
0.000013 0.007600
0.004117 0.007600
0.011892 0.002800
0.002220 0.004100
0.000143 0.003800
0.004010 0.005300
0.001248 0.007100
0.021992 0.008400
0.015692 0.004800
0.000522 0.006900
0.002478 0.006900
0.000077 0.007400
0.001514 0.005300
0.000000 0.007600
0.000532 0.008100
0.001186 0.008400
0.000524 0.004100
0.002680 0.005300
0.005085 0.004300
0.005980 0.003000
0.001396 0.003800
0.001901 0.003800
0.022105 0.007600
0.043896 0.001500
0.000121 0.008600
0.000000 0.006400
0.000000 0.007100
0.000056 0.003000
0.000459 0.006400
0.023957 0.006600
0.000046 0.006400
0.000000 0.003800
0.000000 0.006400
0.000000 0.007600
0.000000 0.005800
0.000000 0.007600
0.000000 0.010200
0.000000 0.008100
0.000000 0.003800
0.000000 0.005600
0.000000 0.007600
0.000000 0.006100
0.000000 0.003800
0.000441 0.007900
0.027633 0.003000
0.000000 0.003800
0.000072 0.006100
0.000000 0.007600
0.000000 0.005800
0.000357 0.007600
0.000000 0.008600
0.000000 0.006600
0.000000 0.003800
0.000000 0.007100
0.000298 0.006900
0.005498 0.004800
0.000000 0.007600
0.002591 0.003800
0.022892 0.004100
0.043260 0.000800
0.033194 0.001500
0.000862 0.005800
0.054478 0.002300
0.009307 0.005100
0.000077 0.005800
0.000000 0.004300
0.000000 0.004100
0.000000 0.003800
0.000000 0.003800
0.000000 0.003800
0.000000 0.005300
0.000000 0.003800
0.000000 0.003800
0.000000 0.003800
0.000120 0.003800
0.004448 0.003800
0.000251 0.003800
0.000000 0.003800
0.000000 0.003800
0.000000 0.002300
0.000000 0.003800
0.000018 0.004300
0.000264 0.003300
0.000085 0.003800
0.000029 0.003800
0.000000 0.004800
0.000044 0.003300
0.003973 0.001300
0.018429 0.000300
0.026399 0.001500
0.020879 0.000300
0.000118 0.003800
0.000000 0.004800
0.000000 0.004800
0.000000 0.001800
0.000000 0.002000
0.000431 0.003800
0.013047 0.000300
0.003288 0.002000
0.000149 0.002300
0.000000 0.002000
0.000000 0.001800
0.000000 0.003800
0.000000 0.003800
0.000000 0.002500
0.000000 0.002500
0.000000 0.002300
0.000000 0.002800
0.000928 0.000800
0.016047 0.000300
0.009072 0.000800
0.000000 0.004100
0.000000 0.003800
0.000000 0.001500
0.000000 0.002300
0.000000 0.001500
0.000062 0.001000
0.002810 0.001000
0.000885 0.001300
0.004757 0.000300
0.000030 0.002300
0.000000 0.002000
0.001109 0.001000
0.051400 0.000500
0.056694 0.000500
0.000000 0.000000
0.000000 0.000000
0.000033 0.000800
0.003300 0.000800
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.001300
0.000421 0.001000
0.014754 0.000800
0.000238 0.000000
0.000000 0.000000
0.000033 0.000000
0.002297 0.000000
0.008896 0.000000
0.000000 0.000800
0.000032 0.000000
0.000000 0.001500
0.000000 0.001000
0.001317 0.000000
0.000000 0.003000
0.000201 0.001000
0.000240 0.001500
0.005799 0.000000
0.000433 0.000000
0.000000 0.000000
0.000000 0.001500
0.000000 0.000800
0.002417 0.000800
0.000822 0.000800
0.036400 0.000000
0.000000 0.001300
0.000000 0.000800
0.000139 0.001000
0.006574 0.000000
0.000041 0.001800
0.000518 0.002500
0.000000 0.003000
0.014169 0.002300
0.002430 0.000300
0.000000 0.001500
0.000040 0.001000
0.000084 0.000800
0.000128 0.002000
0.000018 0.004100
0.000243 0.003600
0.001404 0.001300
0.003846 0.001000
0.000000 0.001800
0.000000 0.003000
0.000000 0.003600
0.000000 0.001800
0.000555 0.001500
0.000386 0.001300
0.018592 0.000800
0.001013 0.000000
0.000000 0.003800
0.000000 0.002800
0.000000 0.002800
0.000555 0.001800
0.008006 0.000800
0.039001 0.002500
0.000179 0.004100
0.009010 0.000300
0.024598 0.000500
0.000199 0.001000
0.000007 0.001500
0.000687 0.000500
0.000022 0.001800
0.000925 0.001000
0.000000 0.001300
0.000000 0.001300
0.000000 0.002300
0.000000 0.003800
0.000000 0.003800
0.000000 0.003800
0.000000 0.003800
0.000000 0.002500
0.000000 0.003300
0.000000 0.004800
0.000000 0.003000
0.000000 0.001800
0.000000 0.007600
0.000106 0.002800
0.005842 0.002000
0.000120 0.005800
0.000000 0.002800
0.000443 0.002500
0.024258 0.006600
0.000000 0.002500
0.000000 0.003800
0.000262 0.006900
0.005941 0.000500
0.073412 0.000000
0.001642 0.000000
0.000375 0.003800
0.019391 0.004100
0.063192 0.001000
0.004610 0.003800
0.000000 0.008400
0.000000 0.005100
0.000185 0.003800
0.016389 0.005800
0.014781 0.000300
0.000000 0.003800
0.000000 0.003800
0.000095 0.006400
0.000157 0.006400
0.000000 0.002500
0.000000 0.003800
0.000029 0.007600
0.001306 0.006900
0.000000 0.005100
0.001499 0.003800
0.059509 0.001000
0.011872 0.000300
0.001464 0.000800
0.023645 0.006100
0.001936 0.000000
0.000008 0.003300
0.000000 0.006600
0.000000 0.007900
0.000640 0.003800
0.033326 0.006600
0.000000 0.007600
0.000000 0.003800
0.000000 0.003800
0.000103 0.006900
0.000000 0.005800
0.000090 0.003800
0.003389 0.007400
0.000089 0.007600
0.000000 0.004600
0.001187 0.004800
0.048228 0.006100
0.000030 0.007600
0.000000 0.002500
0.000000 0.005600
0.000139 0.006100
0.009632 0.005300
0.002719 0.004100
0.000514 0.002300
0.000000 0.003300
0.000481 0.003800
0.014035 0.003800
0.000084 0.003800
0.022019 0.007600
0.000000 0.007600
0.000000 0.010700
0.000000 0.005800
0.000000 0.003800
0.004987 0.002800
0.010890 0.005300
0.000000 0.005300
0.000000 0.007600
0.000000 0.010200
0.000000 0.007100
0.000120 0.003800
0.000000 0.007600
0.000359 0.006900
0.000008 0.007100
0.000051 0.005800
0.004667 0.007600
0.000152 0.006100
0.000000 0.007600
0.000355 0.003800
0.000083 0.002000
0.000000 0.003600
0.000000 0.005100
0.000000 0.007600
0.000000 0.007100
0.000000 0.007600
0.000000 0.008400
0.000000 0.007600
0.000796 0.010700
0.049323 0.010700
0.000156 0.002300
0.000000 0.005800
0.000000 0.006400
0.000000 0.006400
0.000000 0.007600
0.000192 0.007600
0.000062 0.006100
0.000828 0.007400
0.000000 0.007400
0.000000 0.007100
0.000953 0.007600
0.000011 0.009400
0.000877 0.007600
0.004700 0.008100
0.000000 0.007600
0.005770 0.006400
0.007826 0.006400
0.000000 0.006100
0.000448 0.007600
0.014810 0.006100
0.000000 0.009900
0.000230 0.002300
0.008460 0.006600
0.000000 0.005100
0.000018 0.007600
0.001156 0.009100
0.040810 0.007900
0.021072 0.005600
0.002083 0.005300
0.000020 0.006400
0.002000 0.005800
0.001335 0.007600
0.000000 0.007400
0.000000 0.007900
0.000243 0.008100
